neuron_index,beta_state0,beta_state1,beta_state2,max_state,max_abs_beta,group
94,-0.072413549,0.014899677,0.057513872,0,0.072413549,weak
95,0.003969139,0.34896173,-0.35293087,2,0.35293087,mixed
96,-0.354182278,0.220027051,0.134155227,0,0.354182278,state0_neg
97,-0.216932617,0.281484357,-0.06455174,1,0.281484357,weak
98,-0.054307595,0.268610151,-0.214302556,1,0.268610151,weak
99,0.242314524,-0.028596764,-0.21371776,0,0.242314524,weak
100,0.170409048,-0.358684317,0.188275269,1,0.358684317,state1_neg
101,0.197444032,-0.242318881,0.044874849,1,0.242318881,weak
102,0.040896449,-0.039277953,-0.001618496,0,0.040896449,weak
103,-0.061495544,-0.264492758,0.325988302,2,0.325988302,mixed
104,0.086031486,-0.454416458,0.368384972,1,0.454416458,mixed
105,0.03700831,0.413723853,-0.450732163,2,0.450732163,mixed
106,0.069724813,0.37606214,-0.445786953,2,0.445786953,mixed
107,0.091538623,0.538465376,-0.630003999,2,0.630003999,mixed
108,0.060419144,0.016775684,-0.077194828,2,0.077194828,weak
109,0.052057215,-0.108236172,0.056178958,1,0.108236172,weak
110,-0.002880686,0.228554273,-0.225673586,1,0.228554273,weak
111,0.063317353,0.216690558,-0.280007911,2,0.280007911,weak
112,-0.045376792,-1.045344443,1.090721235,2,1.090721235,mixed
113,-0.038391429,0.50485405,-0.466462621,1,0.50485405,mixed
114,0.101889001,-0.093995224,-0.007893777,0,0.101889001,weak
115,0.173049093,-0.229606503,0.05655741,1,0.229606503,weak
116,-0.221442588,-0.320002446,0.541445034,2,0.541445034,state2_pos
117,0.078630413,-0.125135597,0.046505185,1,0.125135597,weak
118,0.018137511,0.064573316,-0.082710827,2,0.082710827,weak
119,-0.114537014,-0.186728074,0.301265089,2,0.301265089,state2_pos
120,0.00135104,0.14217363,-0.14352467,2,0.14352467,weak
121,-0.094631142,-0.750213378,0.84484452,2,0.84484452,mixed
122,0.142340181,0.534444411,-0.676784593,2,0.676784593,state2_neg
123,0.011579145,-0.040787018,0.029207873,1,0.040787018,weak
124,-0.002910022,0.297748808,-0.294838786,1,0.297748808,weak
