neuron_index,beta_state0,beta_state1,beta_state2
0.0,-0.09705499811277506,0.21864263229633854,-0.12158763418356469
1.0,-0.049845353135482204,-0.19513440951644603,0.24497976265192833
2.0,-0.1915389158672275,-0.6321319898835964,0.8236709057508218
3.0,0.24428893905992527,0.5140635845306283,-0.7583525235905535
4.0,-0.1893946941378956,0.24523368833987794,-0.055838994201983565
5.0,0.10820042484044849,0.6438103891340674,-0.7520108139745125
6.0,-0.047821197594201705,0.37583932740746206,-0.32801812981326195
7.0,0.05767792667041531,0.47736522800571646,-0.5350431546761342
8.0,-0.0023104754613644885,0.023629658153076237,-0.021319182691711493
9.0,-0.03403763317708175,0.3739906735884779,-0.3399530404113962
10.0,0.38777120647237895,-0.8352844160658325,0.44751320959345303
11.0,-0.4410341602203364,0.5281309832005102,-0.08709682298017365
12.0,-0.24664053382507845,-0.3861794588159718,0.6328199926410465
13.0,0.033752739204600174,-0.1281412034820838,0.0943884642774819
14.0,-0.20395583041772122,0.22154678570171082,-0.017590955283991877
15.0,0.1642426061424168,-0.33779120337049967,0.17354859722808355
16.0,-0.11216285370824991,0.011005225301943887,0.10115762840630603
17.0,-0.30177156309468794,-0.15425859251208413,0.45603015560677307
18.0,-0.011822302857226265,0.03400468526995845,-0.02218238241273087
19.0,-0.04413075208737908,-0.2728339972109912,0.3169647492983726
20.0,0.08243857866692512,0.0974677266434922,-0.17990630531041651
21.0,0.05716077786200954,-0.2290931011337378,0.17193232327172736
22.0,0.12780300843958461,0.022717659266674396,-0.1505206677062583
23.0,0.1741384099764439,-0.13200501441996682,-0.042133395556476445
24.0,-0.3882061558041797,0.6104151787927965,-0.22220902298861844
25.0,0.12648279048980798,-0.4922184993100645,0.36573570882025863
26.0,0.16680635599587942,-0.022454738193629198,-0.14435161780224803
27.0,-0.11378147722744834,-0.15151074331955325,0.26529222054700136
28.0,-0.009235110609198054,0.16192359417168267,-0.15268848356248368
29.0,0.11634693407323392,-0.2143410257435576,0.0979940916703237
30.0,0.17883402288532935,-0.9763990542321858,0.7975650313468582
31.0,0.20477782146407592,-0.47869948441279314,0.2739216629487188
32.0,-0.10025179850837827,0.5288733690284361,-0.42862157052005606
33.0,-0.21013967979615325,-0.26284013972763753,0.47297981952378837
34.0,0.37095222921226306,-0.03856200419203156,-0.3323902250202296
35.0,-0.12457990890438365,0.49336463204162906,-0.3687847231372477
36.0,0.0937222841781286,-0.566400270204725,0.4726779860266012
37.0,-0.075908974907355,-0.15228576704223662,0.2281947419495898
38.0,0.17303061551603405,-0.20961026267900876,0.0365796471629744
39.0,-0.08788495619772439,0.07541430008691276,0.012470656110811142
