rank,neuron_index,beta_state2,abs_beta
1,82,-1.1284524948805612,1.1284524948805612
2,112,1.090721235301627,1.090721235301627
3,64,0.9185250516671636,0.9185250516671636
4,121,0.8448445199454138,0.8448445199454138
5,2,0.8236709057508218,0.8236709057508218
6,30,0.7975650313468582,0.7975650313468582
7,3,-0.7583525235905535,0.7583525235905535
8,5,-0.7520108139745125,0.7520108139745125
9,74,-0.6861368063030833,0.6861368063030833
10,122,-0.6767845926791877,0.6767845926791877
11,69,-0.6418951141536862,0.6418951141536862
12,62,0.6383582178979489,0.6383582178979489
13,12,0.6328199926410465,0.6328199926410465
14,107,-0.6300039992056109,0.6300039992056109
15,57,0.5917011629998834,0.5917011629998834
16,89,0.5558636020307692,0.5558636020307692
17,116,0.5414450337932998,0.5414450337932998
18,7,-0.5350431546761342,0.5350431546761342
19,80,-0.4764044555730863,0.4764044555730863
20,33,0.47297981952378837,0.47297981952378837
21,36,0.4726779860266012,0.4726779860266012
22,84,0.4690721210260574,0.4690721210260574
23,113,-0.46646262067340427,0.46646262067340427
24,67,-0.46497345723971967,0.46497345723971967
25,17,0.45603015560677307,0.45603015560677307
26,105,-0.45073216267843763,0.45073216267843763
27,10,0.44751320959345303,0.44751320959345303
28,106,-0.44578695297688176,0.44578695297688176
29,44,0.4410038744517174,0.4410038744517174
30,51,0.43606557001351715,0.43606557001351715
31,32,-0.42862157052005606,0.42862157052005606
32,54,-0.4149056952726676,0.4149056952726676
33,91,0.3916631170477433,0.3916631170477433
34,35,-0.3687847231372477,0.3687847231372477
35,104,0.3683849715127279,0.3683849715127279
36,25,0.36573570882025863,0.36573570882025863
37,86,-0.36133703499736936,0.36133703499736936
38,95,-0.3529308696201762,0.3529308696201762
39,63,-0.34931179390439193,0.34931179390439193
40,65,0.34375733987399887,0.34375733987399887
41,9,-0.3399530404113962,0.3399530404113962
42,93,0.339669385177615,0.339669385177615
43,34,-0.3323902250202296,0.3323902250202296
44,72,-0.328400486942324,0.328400486942324
45,6,-0.32801812981326195,0.32801812981326195
46,79,0.3268964497907929,0.3268964497907929
47,103,0.3259883018927862,0.3259883018927862
48,52,0.3186309335281342,0.3186309335281342
49,19,0.3169647492983726,0.3169647492983726
50,88,-0.31002536501138245,0.31002536501138245
51,53,-0.3035385009416575,0.3035385009416575
52,119,0.3012650885012556,0.3012650885012556
53,124,-0.2948387862117244,0.2948387862117244
54,70,-0.28790296133315174,0.28790296133315174
55,43,0.28154227208424215,0.28154227208424215
56,111,-0.280007910538129,0.280007910538129
57,31,0.2739216629487188,0.2739216629487188
58,49,0.27131339427014856,0.27131339427014856
59,56,-0.2706729078821825,0.2706729078821825
60,27,0.26529222054700136,0.26529222054700136
61,61,-0.26521004685121596,0.26521004685121596
62,90,0.2465295048822036,0.2465295048822036
63,77,0.24528349825972204,0.24528349825972204
64,1,0.24497976265192833,0.24497976265192833
65,58,0.22831765803309056,0.22831765803309056
66,37,0.2281947419495898,0.2281947419495898
67,110,-0.2256735863130139,0.2256735863130139
68,24,-0.22220902298861844,0.22220902298861844
69,42,0.21847953547634488,0.21847953547634488
70,98,-0.2143025562873904,0.2143025562873904
71,99,-0.21371775976081145,0.21371775976081145
72,85,-0.20403205631121443,0.20403205631121443
73,100,0.1882752689640728,0.1882752689640728
74,59,-0.18827474481231413,0.18827474481231413
75,20,-0.17990630531041651,0.17990630531041651
76,15,0.17354859722808355,0.17354859722808355
77,21,0.17193232327172736,0.17193232327172736
78,46,-0.16890422423059168,0.16890422423059168
79,41,-0.1620221803116567,0.1620221803116567
80,81,-0.1566300630600481,0.1566300630600481
